rowType,productKey,variantKey,name,description,categoryName,status,currency,price,compareAtPrice,costPrice,chargeTax,trackInventory,stock,lowStockThreshold,allowBackorder,physicalProduct,weightKg,widthCm,heightCm,lengthCm,option1Name,option1Value,option2Name,option2Value,useProductPricing,useProductInventory,useProductShipping,imageUrl,mediaKeys,imageKey
Product,breakaway-cat-collar,,Vòng cổ an toàn cho mèo,Vòng cổ điều chỉnh được với khóa tự bung và chuông nhỏ,Phụ kiện cho mèo,Active,VND,69000,89000,32000,true,true,120,15,false,true,0.05,2,1,20,,,,,,,,,,
Variant,breakaway-cat-collar,breakaway-cat-collar-red,,,,,,,,,,,,,,,,,,,Màu,Đỏ,Size,Một cỡ,true,false,true,,,
Variant,breakaway-cat-collar,breakaway-cat-collar-blue,,,,,,,,,,,,,,,,,,,Màu,Xanh dương,Size,Một cỡ,true,false,true,,,
Variant,breakaway-cat-collar,breakaway-cat-collar-pink,,,,,,,,,,,,,,,,,,,Màu,Hồng,Size,Một cỡ,true,false,true,,,
Variant,breakaway-cat-collar,breakaway-cat-collar-black,,,,,,,,,,,,,,,,,,,Màu,Đen,Size,Một cỡ,true,false,true,,,
Product,cat-harness-leash-set,,Bộ dây đai và dây dắt cho mèo,Dây đai mềm thoáng khí kèm dây dắt để đưa mèo đi dạo an toàn,Phụ kiện cho mèo,Active,VND,159000,199000,82000,true,true,80,10,false,true,0.18,18,4,22,,,,,,,,,,
Variant,cat-harness-leash-set,cat-harness-red-s,,,,,,159000,199000,82000,true,true,15,5,false,true,0.16,16,4,20,Màu,Đỏ,Size,S,false,false,true,,,
Variant,cat-harness-leash-set,cat-harness-red-m,,,,,,169000,209000,87000,true,true,15,5,false,true,0.18,18,4,22,Màu,Đỏ,Size,M,false,false,true,,,
Variant,cat-harness-leash-set,cat-harness-blue-s,,,,,,159000,199000,82000,true,true,15,5,false,true,0.16,16,4,20,Màu,Xanh dương,Size,S,false,false,true,,,
Variant,cat-harness-leash-set,cat-harness-blue-m,,,,,,169000,209000,87000,true,true,15,5,false,true,0.18,18,4,22,Màu,Xanh dương,Size,M,false,false,true,,,
Product,ceramic-cat-bowl,,Bát gốm ăn cho mèo,Bát gốm nặng chống lật với miệng thấp thân thiện với râu mèo,Phụ kiện cho mèo,Active,VND,129000,159000,65000,true,true,90,12,false,true,0.55,14,5,14,,,,,,,,,,
Variant,ceramic-cat-bowl,ceramic-cat-bowl-white,,,,,,,,,,,,,,,,,,,Màu,Trắng,Size,Một cỡ,true,false,true,,,
Variant,ceramic-cat-bowl,ceramic-cat-bowl-green,,,,,,,,,,,,,,,,,,,Màu,Xanh lá,Size,Một cỡ,true,false,true,,,
Variant,ceramic-cat-bowl,ceramic-cat-bowl-pink,,,,,,,,,,,,,,,,,,,Màu,Hồng,Size,Một cỡ,true,false,true,,,
